,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001,Unlabeled:5002,Unlabeled:5002,Unlabeled:5002,Unlabeled:5003,Unlabeled:5003,Unlabeled:5003,Unlabeled:5004,Unlabeled:5004,Unlabeled:5004,Unlabeled:5005,Unlabeled:5005,Unlabeled:5005,Unlabeled:5006,Unlabeled:5006,Unlabeled:5006,Unlabeled:5007,Unlabeled:5007,Unlabeled:5007,Unlabeled:5008,Unlabeled:5008,Unlabeled:5008,Unlabeled:5009,Unlabeled:5009,Unlabeled:5009,Unlabeled:5010,Unlabeled:5010,Unlabeled:5010,Unlabeled:5021,Unlabeled:5021,Unlabeled:5021
,,8392B20CF49E35701388,8392B20CF49E35701388,8392B20CF49E35701388,8392B20CF49E35701389,8392B20CF49E35701389,8392B20CF49E35701389,8392B20CF49E3570138A,8392B20CF49E3570138A,8392B20CF49E3570138A,8392B20CF49E3570138B,8392B20CF49E3570138B,8392B20CF49E3570138B,8392B20CF49E3570138C,8392B20CF49E3570138C,8392B20CF49E3570138C,8392B20CF49E3570138D,8392B20CF49E3570138D,8392B20CF49E3570138D,8392B20CF49E3570138E,8392B20CF49E3570138E,8392B20CF49E3570138E,8392B20CF49E3570138F,8392B20CF49E3570138F,8392B20CF49E3570138F,8392B20CF49E35701390,8392B20CF49E35701390,8392B20CF49E35701390,8392B20CF49E35701391,8392B20CF49E35701391,8392B20CF49E35701391,8392B20CF49E35701392,8392B20CF49E35701392,8392B20CF49E35701392,8392B20CF49E3570139D,8392B20CF49E3570139D,8392B20CF49E3570139D
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
41,0.341667,0.199176,0.446422,0.13275,0.165163,0.615721,0.148581,0.010025,-0.000403,0.010095,0.009937,-0.000324,0.210429,0.113451,1.457851,0.148901,0.115071,1.38868,0.154117,0.122416,1.261553,0.153599,0.124825,1.128375,0.156835,0.128824,0.990781,0.157814,0.136833,0.76799,0.153766,0.160413,-0.000401,0.010323,,,
42,0.35,0.199167,0.446413,0.132763,0.165174,0.615714,0.148585,0.010008,-0.0004,0.010066,0.009947,-0.000337,0.210446,0.113437,1.457811,0.148872,0.115071,1.388676,0.154119,0.122419,1.261549,0.153599,0.124825,1.128365,0.156836,0.128818,0.990778,0.15782,0.136835,0.76799,0.153783,0.160425,-0.000406,0.01032,,,
43,0.358333,0.199169,0.446407,0.132773,0.165182,0.615721,0.148587,0.010001,-0.000402,0.010055,0.009934,-0.000329,0.210445,0.113447,1.457831,0.148904,0.115063,1.38867,0.154127,0.122406,1.261551,0.153608,0.124832,1.128361,0.156849,0.128829,0.99077,0.157821,0.136838,0.767979,0.153773,0.160404,-0.000395,0.01033,,,
44,0.366667,0.199161,0.446441,0.132762,0.165168,0.615735,0.148573,0.00999,-0.000364,0.010043,0.009949,-0.000294,0.210432,0.113441,1.457863,0.148899,0.115068,1.388685,0.154105,0.122415,1.261584,0.153606,0.12483,1.12839,0.156841,0.128829,0.99078,0.157807,0.136845,0.767993,0.153756,0.160404,-0.000368,0.010315,,,
45,0.375,0.199342,0.446611,0.132783,0.165165,0.615751,0.148554,0.009984,-0.000345,0.010026,0.009942,-0.000277,0.210412,0.113444,1.4579,0.148859,0.115078,1.388704,0.154098,0.122409,1.261604,0.153581,0.124829,1.128407,0.156817,0.128826,0.99081,0.157793,0.136843,0.768035,0.153742,0.160429,-0.000329,0.010283,,,
46,0.383333,0.199168,0.446508,0.132715,0.165168,0.615799,0.14853,0.009976,-0.000287,0.009996,0.00994,-0.000265,0.210392,0.113429,1.457942,0.148825,0.115074,1.388726,0.154083,0.122426,1.26164,0.153557,0.124836,1.128424,0.1568,0.128833,0.990833,0.157763,0.136843,0.768076,0.153728,0.160428,-0.000289,0.010254,,,
47,0.391667,0.199168,0.44653,0.132702,0.165173,0.615813,0.148513,0.009969,-0.000291,0.009985,0.009944,-0.00023,0.210377,0.113441,1.457965,0.148822,0.115075,1.38875,0.154064,0.122438,1.261676,0.153548,0.124827,1.128433,0.156794,0.128836,0.990856,0.157752,0.136843,0.768092,0.153701,0.160445,-0.000286,0.010239,,,
48,0.4,0.19917,0.446531,0.13268,0.165167,0.615832,0.148508,0.009975,-0.000295,0.009964,0.009933,-0.000225,0.210364,0.113448,1.457981,0.148795,0.115076,1.388763,0.154049,0.122449,1.261681,0.153532,0.124827,1.128453,0.156775,0.128833,0.990867,0.15773,0.136833,0.768112,0.153686,0.160427,-0.000263,0.010241,,,
49,0.408333,0.199174,0.446527,0.1327,0.165162,0.615807,0.14851,0.009987,-0.000297,0.009997,0.009948,-0.000236,0.21039,0.113445,1.457966,0.148807,0.115075,1.388741,0.15406,0.122447,1.261673,0.153551,0.124835,1.128437,0.156772,0.128828,0.990867,0.157745,0.136832,0.768101,0.153701,0.160437,-0.000271,0.010248,,,
50,0.416667,0.199161,0.446493,0.132714,0.165172,0.615791,0.148532,0.010003,-0.000325,0.010031,0.009941,-0.00025,0.210395,0.113442,1.457934,0.148812,0.115073,1.388734,0.154063,0.122447,1.261651,0.153553,0.124833,1.128424,0.156783,0.128819,0.990853,0.157751,0.136843,0.768077,0.153726,0.160431,-0.000286,0.010257,,,
