PathFileType	4	(X/Y/Z)	squat.trc																																					
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																	
120	120	1544	8	mm	120	0	1544																																	
frame#	Time	Ankle_4	Ankle_4	Ankle_4	Ankle_3	Ankle_3	Ankle_3	Ankle_2	Ankle_2	Ankle_2	Ankle_1	Ankle_1	Ankle_1	Tibia_2	Tibia_2	Tibia_2	Pelvis_1	Pelvis_1	Pelvis_1	Pelvis_2	Pelvis_2	Pelvis_2	Femur_1 	Femur_1 	Femur_1 	Femur_2	Femur_2	Femur_2	Tibia_1	Tibia_1	Tibia_1	Ankle_5	Ankle_5	Ankle_5	Unlabeled:5029	Unlabeled:5029	Unlabeled:5029	Unlabeled:5030	Unlabeled:5030	Unlabeled:5030
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	Z8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X12	Y12	Z12
																																								
																																								
																																								
																																								
																																								
24	0.2	-183.653992	1.353584	255.895493	133.67775	1410.075806	167.713348	16.414005	0.163864	257.784607	19.009853	-1.585695	-9.447664	134.959457	1280.236084	161.954117	160.999908	877.51416	139.545853	118.291023	234.446884	125.274567	163.922119	698.850342	119.680588	117.650612	109.077652	128.198883	116.817017	20.740314	132.798737	129.304047	1511.817017	171.533112						
25	0.208333	-183.772293	1.129387	255.887573	133.596573	1409.94812	167.73024	16.298901	-0.035597	257.768524	18.896049	-1.814195	-9.431532	134.848114	1280.11377	161.921127	160.925613	877.394897	139.540695	118.210686	234.17543	125.293701	163.822021	698.679688	119.672638	117.636711	109.067055	128.199356	116.769722	20.472643	132.770248	129.226105	1511.688354	171.525208						
26	0.216667	-183.862793	0.907965	255.857147	133.489838	1409.788818	167.736298	16.19434	-0.279558	257.700256	18.780067	-2.096952	-9.435151	134.714752	1279.939453	161.880737	160.883484	877.294983	139.530457	118.125946	233.803757	125.250565	163.74556	698.363342	119.595039	117.636551	109.091522	128.196152	116.645622	20.137985	132.756531	129.104858	1511.551758	171.556595						
27	0.225	-183.935898	0.749538	255.809006	133.326401	1409.631226	167.7173	16.157541	-0.388861	257.658264	18.240938	-2.274847	-9.018211	134.605698	1279.779419	161.843582	160.838852	877.230408	139.527802	118.071251	233.518829	125.222893	163.71669	698.207703	119.513245	117.63179	109.111664	128.198837	116.79007	20.8447	132.405518	128.993439	1511.372559	171.507813						
28	0.233333	-183.960098	0.68747	255.775421	134.309937	1407.602783	169.1203	16.121271	-0.451831	257.648651	18.206348	-2.549133	-9.039223	134.508667	1279.703125	161.855621	160.780945	877.171814	139.539856	118.393608	234.752594	125.006111	163.989609	698.898376	119.432312	117.624786	109.110451	128.200516	116.831673	20.775057	132.410889	128.848053	1511.262451	171.529053						
29	0.241667	-183.642349	1.395373	255.702789	134.218872	1407.546509	169.168579	16.126238	-0.483203	257.606262	18.902113	-1.634838	-9.867231	134.471115	1279.699585	161.864868	160.744141	877.178223	139.530319	118.394707	234.72879	125.009644	163.963577	698.848145	119.432465	117.637672	109.117966	128.201538	116.818115	20.812922	132.437897	128.782547	1511.209351	171.535156						
30	0.25	-183.95578	0.686206	255.775726	134.201599	1407.618896	169.171219	16.128477	-0.50026	257.641632	18.185543	-2.521361	-9.044493	134.434601	1279.719238	161.929794	160.685532	877.174316	139.56987	118.40168	234.732651	125.023651	163.930099	698.865479	119.467415	117.669418	109.102356	128.1996	116.84832	20.817984	132.421844	128.741943	1511.26355	171.586548						
31	0.258333	-183.925491	0.771652	255.822357	134.217636	1407.810669	169.218521	16.159576	-0.422409	257.684113	18.247807	-2.261848	-9.021708	134.415802	1279.774658	162.013199	160.668091	877.239136	139.636429	118.048706	233.489105	125.237587	163.585846	698.174561	119.579971	117.644196	109.107773	128.170792	116.81694	20.787573	132.427048	128.751633	1511.364624	171.667328						
32	0.266667	-183.875031	0.884516	255.86647	134.424133	1408.486816	169.137985	16.194073	-0.295379	257.697021	18.766701	-2.101454	-9.458573	134.420395	1279.963013	162.099838	160.616241	877.33197	139.690201	118.067802	233.780914	125.209808	163.582352	698.331177	119.718422	117.622665	109.115807	128.203201	116.632874	20.101065	132.725708	128.710403	1511.55127	171.731476						
33	0.275	-183.776566	1.107953	255.907272	133.8349	1409.494263	168.640076	16.306549	-0.057221	257.762451	18.868187	-1.819191	-9.458883	134.421463	1280.155762	162.190384	160.575302	877.455322	139.765259	118.127129	234.107407	125.263779	163.571075	698.611755	119.835129	117.606476	109.104332	128.190659	116.694229	20.442759	132.737289	128.66188	1511.757324	171.781754						
34	0.283333	-183.684357	1.300356	255.89534	133.804596	1409.689331	168.629303	16.391203	0.157182	257.789246	18.937265	-1.545866	-9.448367	134.401428	1280.283203	162.225266	160.531281	877.557129	139.819748	118.168831	234.42804	125.282127	163.512268	698.821838	119.915199	117.599335	109.106895	128.190887	116.790955	20.716852	132.768616	128.617798	1511.868286	171.812103						
35	0.291667	-183.62767	1.448893	255.873474	133.717697	1409.793457	168.65979	16.472437	0.312458	257.789856	19.048847	-1.419932	-9.477378	134.332352	1280.352661	162.296753	160.442032	877.646606	139.861908	118.208145	234.580521	125.304329	163.482132	698.91217	119.937737	117.589935	109.092628	128.22226	116.837654	20.83152	132.803162	128.561935	1511.95813	171.835373						
36	0.3	-183.594223	1.464661	255.904022	133.654297	1409.821655	168.646057	16.501434	0.295589	257.785431	19.044676	-1.39354	-9.449883	134.254852	1280.366821	162.317062	160.365692	877.677551	139.898468	118.185974	234.581985	125.303329	163.359695	698.993103	119.999069	117.589638	109.10128	128.207458	116.868042	20.832087	132.795502	128.465179	1511.985474	171.856293						
37	0.308333	-183.650162	1.397205	255.916946	133.531708	1409.771362	168.678207	16.45751	0.214879	257.798187	19.008839	-1.544397	-9.447421	134.148178	1280.349487	162.347015	160.226608	877.592529	139.947952	118.141273	234.394196	125.310555	163.193039	698.901062	120.030663	117.575821	109.115456	128.23642	116.835846	20.73192	132.815887	128.286926	1511.9552	171.878098						
38	0.316667	-183.711777	1.195207	255.921356	133.373627	1409.630615	168.650223	16.338295	-0.002682	257.791779	18.901384	-1.737111	-9.45025	134.023499	1280.222168	162.314194	160.062943	877.524109	139.965439	118.058189	234.16803	125.293343	163.030823	698.685913	120.039696	117.56823	109.096344	128.236252	116.751633	20.496721	132.78717	128.085495	1511.879395	171.839111						
