,hip1,,hip2,,hip3,,femur1,,femur2,,femur3,,tibia1,,tibia2,,tibia3,
Time,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.375,0.658795,1.960821,0.66616,1.837438,0.655504,1.707409,0.65904,1.533009,0.658535,1.292569,0.680887,1.109272,0.739653,0.901793,0.774916,0.524619,0.77405,0.133976
0.383333,0.659008,1.960715,0.666327,1.83743,0.655664,1.707381,0.659175,1.532966,0.658635,1.292513,0.68101,1.109198,0.739709,0.901725,0.774947,0.524541,0.774055,0.13394
0.391667,0.659172,1.96063,0.666464,1.837347,0.655807,1.707337,0.65926,1.532958,0.658677,1.292478,0.681029,1.109151,0.739678,0.901655,0.774938,0.524468,0.774043,0.133811
0.4,0.659273,1.960588,0.666607,1.837333,0.655939,1.70732,0.659357,1.532926,0.658691,1.292438,0.681028,1.109067,0.739644,0.901576,0.774907,0.524369,0.774038,0.133727
0.408333,0.659411,1.960532,0.666684,1.837316,0.656031,1.707304,0.659418,1.53287,0.658703,1.29236,0.681022,1.108998,0.739544,0.901482,0.77488,0.524303,0.773981,0.133668
0.416667,0.659491,1.96051,0.666763,1.837293,0.656099,1.707274,0.659517,1.532897,0.658695,1.292364,0.680978,1.109003,0.739485,0.901447,0.774833,0.52426,0.774015,0.133657
0.425,0.659484,1.960599,0.666804,1.837328,0.656143,1.7073,0.65952,1.532879,0.658673,1.292365,0.680934,1.109016,0.739409,0.901471,0.774735,0.524282,0.773989,0.133632
0.433333,0.659471,1.960672,0.666806,1.837349,0.656128,1.707336,0.659504,1.532922,0.658642,1.292436,0.680891,1.109119,0.739383,0.901478,0.774707,0.524299,0.773977,0.133675
0.441667,0.659432,1.960747,0.666773,1.837418,0.656083,1.707367,0.659447,1.532959,0.658575,1.292452,0.680824,1.109176,0.739323,0.901518,0.774682,0.524341,0.773995,0.13383
0.45,0.659325,1.960867,0.666718,1.837423,0.656024,1.707386,0.659395,1.532975,0.658475,1.292526,0.680733,1.109215,0.739244,0.901552,0.774646,0.524396,0.774004,0.133886
0.458333,0.659251,1.960896,0.666667,1.837418,0.655937,1.707366,0.659288,1.53297,0.658403,1.292443,0.680635,1.109154,0.739191,0.901518,0.774592,0.524381,0.773999,0.133884
0.466667,0.659099,1.960858,0.666534,1.837375,0.655824,1.707334,0.65917,1.532964,0.658306,1.292418,0.680561,1.109119,0.739129,0.901462,0.774536,0.524348,0.774013,0.133839
0.475,0.659022,1.960722,0.6664,1.837282,0.655712,1.70727,0.65902,1.532898,0.658156,1.292295,0.680444,1.109027,0.739064,0.901349,0.774512,0.524236,0.773972,0.133746
0.483333,0.658912,1.960527,0.666232,1.837199,0.655578,1.707194,0.658857,1.532803,0.658037,1.292147,0.680339,1.108904,0.739008,0.901289,0.774452,0.524077,0.773985,0.133632
0.491667,0.658774,1.960392,0.666036,1.837131,0.655466,1.70712,0.658708,1.532708,0.657939,1.292037,0.680215,1.108805,0.738862,0.901159,0.77436,0.523986,0.773918,0.133467
0.5,0.658635,1.960344,0.665881,1.837098,0.655304,1.707101,0.658521,1.532649,0.65783,1.291963,0.6801,1.108728,0.738752,0.901105,0.774287,0.523909,0.773918,0.133426
0.508333,0.658449,1.960339,0.665721,1.837102,0.655136,1.707105,0.658378,1.532667,0.657646,1.291962,0.679901,1.108812,0.738645,0.901046,0.774189,0.523855,0.773877,0.133437
0.516667,0.658222,1.960534,0.665564,1.837171,0.654988,1.707163,0.658192,1.532704,0.657533,1.291996,0.679778,1.108854,0.738551,0.901045,0.774105,0.523947,0.773934,0.133556
0.525,0.658004,1.960704,0.665402,1.837175,0.654827,1.70722,0.658055,1.53277,0.657364,1.292081,0.679617,1.108961,0.738439,0.901084,0.774019,0.523968,0.773905,0.133612
0.533333,0.657779,1.960889,0.665274,1.837217,0.654643,1.707286,0.657886,1.532803,0.657208,1.29216,0.679475,1.10904,0.738367,0.901141,0.773987,0.524087,0.77393,0.1337
0.541667,0.657601,1.960958,0.665148,1.837215,0.654537,1.7073,0.657747,1.532823,0.657132,1.292104,0.679347,1.109088,0.738268,0.901179,0.773906,0.52402,0.773926,0.133734
0.55,0.657538,1.96086,0.665038,1.837165,0.654433,1.707238,0.657654,1.532716,0.657031,1.292039,0.679302,1.109059,0.738211,0.901093,0.773872,0.52396,0.773921,0.133727
0.558333,0.657466,1.960742,0.664912,1.837069,0.654345,1.70713,0.657554,1.532666,0.65698,1.291911,0.679234,1.108961,0.738153,0.900983,0.773834,0.523889,0.773907,0.133596
0.566667,0.657441,1.960582,0.664808,1.836991,0.654279,1.706988,0.657483,1.532531,0.656916,1.291798,0.679202,1.108844,0.738082,0.900929,0.773783,0.52379,0.773879,0.133466
0.575,0.657404,1.960444,0.664702,1.836913,0.654237,1.706886,0.657371,1.532441,0.656899,1.291638,0.679143,1.108713,0.738035,0.900789,0.77376,0.523656,0.773843,0.133403
0.583333,0.657348,1.96035,0.664643,1.83684,0.654185,1.706864,0.657301,1.532381,0.656819,1.291605,0.679118,1.10865,0.738023,0.900778,0.773744,0.523627,0.773863,0.133353
0.591667,0.657225,1.960399,0.664561,1.836835,0.654118,1.706837,0.657202,1.532336,0.656757,1.291532,0.679049,1.108598,0.737975,0.900759,0.773713,0.52365,0.773857,0.133372
0.6,0.65709,1.960467,0.664486,1.836852,0.654037,1.706852,0.657139,1.532349,0.656684,1.291534,0.678999,1.108654,0.737941,0.900749,0.773752,0.523647,0.773869,0.133454
0.608333,0.656945,1.960609,0.66442,1.836883,0.653945,1.706869,0.657033,1.53238,0.656588,1.291524,0.678966,1.108692,0.737906,0.900787,0.773724,0.523706,0.773878,0.133465
0.616667,0.656831,1.960632,0.664341,1.836897,0.653875,1.706882,0.656949,1.53237,0.656492,1.291531,0.678888,1.108712,0.737855,0.900772,0.773721,0.52371,0.773889,0.133468
0.625,0.656738,1.960604,0.66425,1.836849,0.653789,1.706858,0.656823,1.532345,0.656399,1.291472,0.678824,1.108715,0.737808,0.900772,0.773646,0.523692,0.773917,0.133479
0.633333,0.656621,1.960628,0.664147,1.836827,0.653702,1.706856,0.656714,1.532273,0.656326,1.291438,0.678753,1.108661,0.737737,0.900756,0.773581,0.52368,0.773892,0.133444
0.641667,0.656491,1.960558,0.664043,1.836764,0.653595,1.706808,0.65658,1.53223,0.6562,1.291355,0.678695,1.108577,0.73767,0.900703,0.773573,0.523629,0.773866,0.133351
0.65,0.656376,1.960512,0.663927,1.83673,0.653468,1.70677,0.656465,1.532213,0.656083,1.291308,0.678632,1.108497,0.737616,0.900634,0.773499,0.52358,0.773878,0.133306
0.658333,0.656176,1.960543,0.663767,1.836699,0.653344,1.706724,0.656346,1.532145,0.655989,1.291259,0.678498,1.108555,0.737521,0.900642,0.773439,0.523536,0.773854,0.133348
0.666667,0.655983,1.960556,0.663651,1.836654,0.653245,1.706763,0.656219,1.532133,0.655906,1.291239,0.678408,1.108509,0.737437,0.90062,0.773418,0.523543,0.773855,0.133321
0.675,0.655792,1.960601,0.66348,1.836654,0.653089,1.706763,0.656077,1.532157,0.655782,1.291198,0.678303,1.108507,0.737361,0.900612,0.773312,0.523614,0.773833,0.133392
0.683333,0.655628,1.960636,0.663343,1.836615,0.652917,1.706791,0.65592,1.532126,0.655651,1.291235,0.678194,1.108512,0.737256,0.900664,0.7733,0.523655,0.773841,0.133446
0.691667,0.655458,1.960634,0.66313,1.836586,0.652761,1.706742,0.655744,1.532084,0.655508,1.291168,0.678092,1.108472,0.737186,0.900615,0.773235,0.523647,0.773843,0.133452
