,hip1,,hip2,,hip3,,femur1,,femur2,,femur3,,tibia1,,tibia2,,tibia3,
Time,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.483333,0.125962,2.905158,0.137248,2.838569,0.136912,2.711264,0.146253,2.335841,0.152203,2.024,0.157165,1.758325,0.179258,1.341264,0.261269,1.01635,0.366478,0.64047
0.491667,0.125871,2.90501,0.131088,2.835788,0.136922,2.711188,0.146228,2.335779,0.152231,2.023916,0.157204,1.758259,0.179438,1.34136,0.261729,1.016587,0.367165,0.640758
0.5,0.130496,2.906248,0.136031,2.831644,0.136906,2.711128,0.146178,2.3357,0.15232,2.023832,0.157217,1.758169,0.179523,1.341681,0.262142,1.016727,0.367788,0.64093
0.508333,0.130474,2.90623,0.135992,2.831648,0.137144,2.710708,0.14618,2.335612,0.15232,2.023746,0.157251,1.758117,0.179744,1.341709,0.26258,1.016941,0.368435,0.641205
0.516667,0.130302,2.906142,0.135967,2.831682,0.137152,2.710708,0.146194,2.335602,0.15229,2.023748,0.157308,1.758098,0.179976,1.341861,0.263031,1.017284,0.369112,0.641527
0.525,0.130443,2.906286,0.13602,2.831699,0.137139,2.71074,0.146235,2.335647,0.152305,2.023905,0.157419,1.758186,0.18021,1.342156,0.263469,1.017606,0.36974,0.641896
0.533333,0.130494,2.906381,0.135994,2.831806,0.137159,2.710835,0.146466,2.335453,0.152453,2.023926,0.157579,1.758296,0.180454,1.342557,0.263871,1.017998,0.370511,0.642469
0.541667,0.130451,2.906392,0.136035,2.831825,0.136891,2.71127,0.146459,2.335636,0.152752,2.023649,0.157834,1.75821,0.180629,1.343196,0.264417,1.018474,0.371308,0.643074
0.55,0.125966,2.905241,0.131119,2.835951,0.136894,2.71136,0.146323,2.336005,0.152923,2.023849,0.157846,1.758457,0.181156,1.3432,0.264855,1.018943,0.372238,0.643446
0.558333,0.126033,2.905393,0.130347,2.838078,0.136893,2.711454,0.146343,2.336073,0.153018,2.024015,0.157918,1.758652,0.181473,1.343567,0.265409,1.019344,0.372935,0.644176
