femur 1		femur 4		tibia 1		tibia4	
X	Y	X	Y	X	Y	X	Y
1.516307	1.333048	1.534873	0.933565	1.651821	0.76732	1.883413	0.591494
1.516294	1.333039	1.534876	0.933545	1.651967	0.7679	1.884242	0.592885
1.516307	1.333031	1.534854	0.933527	1.652323	0.768757	1.885082	0.594222
1.51629	1.332986	1.534813	0.933479	1.65237	0.769214	1.885917	0.595554
1.516285	1.332963	1.534777	0.933466	1.652475	0.769836	1.886647	0.597046
1.516276	1.332941	1.534748	0.933426	1.652593	0.770379	1.887386	0.598552
1.516247	1.332947	1.534716	0.933405	1.652699	0.770876	1.888241	0.599959
1.516219	1.332926	1.53469	0.933406	1.652889	0.771462	1.889141	0.601489
1.516222	1.332934	1.534685	0.933411	1.653072	0.772116	1.890025	0.603134
1.516236	1.33297	1.534671	0.933444	1.653267	0.772757	1.890848	0.604852
1.516242	1.333008	1.534673	0.933484	1.653511	0.773421	1.891842	0.606525
1.516237	1.333031	1.534705	0.933517	1.653731	0.774098	1.892785	0.608011
1.516223	1.33304	1.534765	0.93353	1.653941	0.77465	1.893781	0.609769
1.516219	1.333024	1.53482	0.933509	1.654261	0.775315	1.894655	0.611355
1.516228	1.332997	1.534918	0.933501	1.654575	0.77596	1.895721	0.613145
1.516226	1.332963	1.535021	0.933481	1.654916	0.776585	1.896749	0.614625
1.516237	1.332941	1.535109	0.933466	1.655249	0.777201	1.897699	0.616302
1.516213	1.332917	1.535293	0.93347	1.655547	0.777814	1.898743	0.617868
1.516213	1.332906	1.535395	0.933463	1.655905	0.778416	1.899715	0.619559
1.516221	1.332888	1.535506	0.933475	1.656227	0.779054	1.900733	0.621252
1.516233	1.332895	1.535591	0.933487	1.656502	0.779661	1.901695	0.622886
1.516241	1.332906	1.535667	0.933501	1.656816	0.780334	1.902656	0.624556
1.516266	1.33293	1.535735	0.933546	1.657026	0.781083	1.903539	0.626337
1.516254	1.332948	1.535762	0.933564	1.65736	0.781704	1.904385	0.628001
1.516256	1.332976	1.535782	0.933586	1.657596	0.782378	1.905299	0.629802
1.516267	1.332966	1.535767	0.933581	1.657772	0.782997	1.906136	0.631346
1.516266	1.332974	1.535794	0.933591	1.657935	0.78368	1.906917	0.633131
1.516263	1.33297	1.535799	0.933565	1.658067	0.784315	1.907654	0.634718
1.516238	1.332952	1.535784	0.933554	1.658243	0.784989	1.908383	0.636351
1.516235	1.332908	1.535766	0.933524	1.658404	0.785617	1.909145	0.637968
1.516243	1.332872	1.535735	0.933489	1.658561	0.78619	1.90994	0.639523
1.516244	1.332847	1.535718	0.933467	1.6587	0.786821	1.910722	0.641164
1.516228	1.33287	1.53574	0.933477	1.658879	0.787477	1.911404	0.642744
1.516209	1.332871	1.535734	0.933505	1.659074	0.788085	1.912142	0.644347
1.516233	1.332907	1.535789	0.93352	1.659306	0.788732	1.912809	0.646023
1.516231	1.332914	1.535857	0.933551	1.659491	0.789391	1.913603	0.647576
1.516254	1.332955	1.535928	0.933576	1.659695	0.790052	1.914392	0.649091
1.516258	1.332953	1.536013	0.933591	1.659925	0.79072	1.915176	0.650693
1.516264	1.332956	1.536113	0.933595	1.660152	0.791315	1.91586	0.652314
1.51626	1.33295	1.536183	0.933605	1.660373	0.791878	1.916607	0.653874
1.516287	1.33295	1.536292	0.933598	1.660646	0.792489	1.917272	0.656257
1.516302	1.33294	1.536401	0.933607	1.660914	0.793111	1.918141	0.657595
1.516286	1.332926	1.536543	0.933619	1.661192	0.793753	1.91903	0.659043
1.5163	1.332913	1.536664	0.933614	1.661474	0.794423	1.919844	0.660295
1.516295	1.332887	1.536798	0.933607	1.661722	0.795033	1.920599	0.661879
